Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
loam,5.192294089,bi-weekly,chemical,31.71960241,61.59186061,0
sandy,4.033132703,weekly,organic,28.91948412,52.4222761,1
loam,8.892768571,bi-weekly,none,23.17905889,44.66053858,0
loam,8.241144063,bi-weekly,none,18.4658864,46.43322727,0
sandy,8.374043008,bi-weekly,organic,,63.6259228,0
sandy,8.62762208,bi-weekly,none,20.00485796,67.61872647,0
loam,4.44426791,daily,organic,25.98453329,69.57895219,1
clay,6.150794371,daily,organic,29.29191845,69.48090714,0
loam,4.695214357,bi-weekly,none,28.20394753,34.56030515,1
loam,9.178620555,weekly,organic,20.59867794,54.72101524,1
loam,7.739788761,daily,none,34.09730561,32.877938,0
loam,5.985388149,bi-weekly,chemical,29.75793833,57.47644412,0
sandy,4.381350102,daily,organic,26.08708105,52.07652507,1
loam,5.86589393,daily,chemical,27.23441492,74.38520914,1
clay,5.951099932,weekly,none,,47.54575063,1
sandy,8.37763707,bi-weekly,chemical,19.95461979,35.85335082,1
clay,7.825344828,bi-weekly,chemical,22.11945357,37.1495841,0
clay,9.323276455,weekly,none,30.15692221,68.07553159,0
clay,6.833289551,weekly,chemical,15.28786977,60.91090317,1
clay,4.717565476,bi-weekly,chemical,17.32145281,35.05613381,1
sandy,8.279468723,bi-weekly,none,15.92005284,34.20534031,0
sandy,8.564710292,weekly,chemical,15.81457605,65.04845657,1
clay,7.367663185,daily,none,32.10921168,33.63815032,0
clay,8.62580308,daily,chemical,29.07315719,71.09300296,1
sandy,6.962773578,weekly,none,24.48347658,65.31211136,1
sandy,7.136396976,daily,none,16.95668321,34.06743903,0
sandy,6.56524611,weekly,chemical,24.8323175,34.2418857,0
loam,4.15251476,daily,chemical,24.46943542,79.33197893,0
loam,4.647348562,daily,chemical,18.4640374,48.71353979,1
loam,4.188575114,bi-weekly,organic,23.67703298,48.53210735,1
clay,7.818462468,bi-weekly,organic,,70.63997836,0
loam,5.886135886,daily,organic,27.31700196,77.36242887,0
clay,7.051424147,daily,none,27.70187302,79.30005319,0
clay,9.445398844,bi-weekly,chemical,15.9060802,67.66890926,0
loam,5.495753375,bi-weekly,none,22.49225229,48.81297928,1
clay,6.462297538,bi-weekly,organic,27.51719831,34.17503583,1
loam,8.533306831,weekly,chemical,25.06272517,68.8573458,0
loam,5.372788993,daily,none,32.12979682,57.92021249,1
sandy,4.461879459,bi-weekly,chemical,28.17387263,51.21110046,0
loam,5.738508717,daily,none,18.25868854,75.31771925,1
sandy,4.967327724,weekly,chemical,16.41137495,35.55987412,1
loam,9.578185914,weekly,organic,27.84838556,54.63125521,1
loam,8.848722277,bi-weekly,organic,15.53022621,30.56768224,1
sandy,7.800422539,weekly,chemical,26.71551163,53.4330321,1
sandy,9.228763541,daily,none,33.80460483,32.81516378,0
loam,8.822032461,bi-weekly,organic,26.50948356,35.94089581,1
clay,5.119420353,daily,organic,22.76339852,35.87631234,1
sandy,9.355353991,daily,organic,27.86576437,62.46051511,1
clay,7.236053451,weekly,chemical,24.16505781,67.30224396,0
clay,8.844640931,weekly,chemical,25.91233579,59.16843825,0
clay,9.3765478,weekly,none,33.82929618,78.10862742,0
sandy,5.90802085,weekly,none,22.72205276,48.74352898,1
clay,4.660311547,weekly,none,,44.28560431,0
sandy,5.367610975,bi-weekly,chemical,33.10701284,73.42995641,0
clay,6.562646732,daily,chemical,18.9158227,41.17979193,0
loam,8.908088596,daily,none,16.38722602,78.16112697,0
loam,9.1643835,daily,none,17.01556003,30.60772373,1
sandy,4.041712783,daily,chemical,15.36443651,78.49394134,0
loam,7.064483815,weekly,none,16.88885922,32.1579956,0
loam,6.504466019,daily,organic,28.66013547,74.55715568,1
clay,5.332646863,bi-weekly,chemical,16.42377297,56.38505545,1
sandy,4.719192204,bi-weekly,none,,79.64823981,0
clay,6.025691028,daily,chemical,31.89750622,33.68982824,0
clay,9.657458223,daily,organic,15.46543871,57.69271422,0
clay,5.939217592,bi-weekly,chemical,31.28936965,78.46512678,0
clay,7.11274373,bi-weekly,chemical,20.6370955,56.15489221,1
clay,8.218113753,weekly,chemical,17.36329655,61.46993191,1
clay,6.181777614,bi-weekly,chemical,28.93474331,64.78743445,1
clay,9.830692496,weekly,organic,27.57885694,52.72705324,0
sandy,9.77468377,weekly,chemical,32.54944027,61.377904,1
loam,5.510693775,weekly,chemical,29.70142088,59.2157156,0
clay,6.983491035,weekly,none,31.06961861,75.05790052,1
clay,5.805269859,weekly,chemical,20.64069145,32.27231902,1
clay,5.709042966,daily,none,18.54879088,44.04815948,1
clay,4.221321684,bi-weekly,organic,30.01229503,77.5205742,1
clay,7.657386004,weekly,organic,31.13669479,74.51318919,0
clay,7.016074139,bi-weekly,organic,34.81010284,52.78283764,0
loam,4.308872507,bi-weekly,organic,23.25235354,61.00662989,1
loam,5.671878785,weekly,none,22.44036172,43.86905915,1
clay,9.449595316,daily,chemical,,39.40605799,1
loam,5.437371344,weekly,organic,21.81607081,53.18492025,1
sandy,4.869369233,daily,chemical,33.61514651,47.6676114,1
clay,6.936716562,bi-weekly,none,32.16825504,59.18280559,0
sandy,9.913902725,daily,none,23.57988055,33.88673185,1
sandy,5.452331629,daily,none,,78.71974038,0
clay,8.032813284,daily,organic,30.09085748,79.31053722,0
loam,8.569717692,bi-weekly,chemical,17.06247738,64.9080857,1
sandy,5.425825264,bi-weekly,chemical,33.05105813,56.80481832,1
clay,8.369298092,daily,chemical,25.10504745,45.47638081,0
sandy,6.206698796,daily,none,31.52914932,70.68975099,1
sandy,7.793834984,weekly,organic,21.40099202,64.23655863,1
sandy,7.801178265,daily,none,32.91046457,38.13084697,0
sandy,7.214648104,weekly,none,22.78403357,75.54635922,0
loam,4.54173862,daily,chemical,15.21675303,71.12686215,1
sandy,9.011814974,weekly,none,33.10763953,77.48999566,0
sandy,5.92468039,bi-weekly,chemical,16.82573354,66.28597542,0
sandy,5.119111062,daily,organic,21.38627275,60.6707598,1
loam,4.244650849,daily,chemical,34.00123934,50.91215181,0
sandy,7.545357659,daily,organic,34.01214294,76.63642417,0
sandy,8.065386171,daily,chemical,26.46875776,73.30319448,0
sandy,8,daily,organic,25,60,1
clay,5,weekly,chemical,20,70,0
loam,6,bi-weekly,none,22,55,1
loam,7,daily,organic,30,50,0
clay,6.812,weekly,organic,26.5,65.2,1
sandy,7.445,daily,chemical,18.3,48.7,0
loam,5.229,bi-weekly,organic,24.7,52.1,1
sandy,8.318,weekly,none,20.1,62.5,0
clay,6.134,daily,none,,70.3,1
loam,4.789,bi-weekly,chemical,31.6,68.9,0
sandy,7.019,daily,organic,22.5,55.4,1
clay,5.932,weekly,chemical,17.8,46.2,0
loam,8.442,bi-weekly,none,19.3,54.1,1
sandy,6.356,daily,none,30.8,63.7,0
clay,9.128,weekly,organic,15.7,40.6,0
loam,4.546,daily,chemical,29.1,71.2,1
sandy,7.627,bi-weekly,organic,23.9,69.8,0
clay,8.443,daily,none,27.6,49.3,1
loam,5.689,weekly,chemical,20.8,57.5,0
sandy,4.118,bi-weekly,none,31.2,50.4,1
clay,6.917,daily,organic,18.9,67.1,0
loam,7.456,bi-weekly,none,24.6,55.9,1
sandy,8.902,daily,chemical,15.2,43.7,0
clay,5.667,weekly,organic,30.3,73.6,1
loam,9.121,bi-weekly,none,26.1,61.9,0
sandy,4.753,daily,chemical,18.7,47.4,1
clay,7.318,weekly,none,22.3,68.5,0
loam,5.589,daily,organic,31.9,52.3,1
sandy,8.556,bi-weekly,chemical,19.6,60.7,0
clay,6.127,daily,none,25.7,70.9,1
loam,4.372,weekly,organic,27.2,55.2,0
sandy,7.245,daily,none,30.4,63.4,1
clay,9.872,bi-weekly,chemical,17.1,49.7,0
loam,5.477,daily,organic,22.8,71.5,1
sandy,4.649,weekly,none,28.5,55.1,0
clay,8.512,bi-weekly,chemical,21.4,69.3,1
loam,6.832,daily,none,,47.8,0
sandy,5.612,weekly,organic,19.2,61.6,1
clay,7.428,daily,none,26.9,68.2,0
loam,4.918,bi-weekly,chemical,24.3,54.9,1
sandy,8.745,weekly,none,20.6,70.5,0
clay,6.217,daily,organic,28.9,56.7,1
loam,7.134,bi-weekly,none,31,52.6,0
sandy,5.489,daily,chemical,18.1,69.4,1
clay,8.317,weekly,none,27.5,60.3,0
loam,6.762,daily,organic,22.9,46.5,1
sandy,4.813,bi-weekly,chemical,30,71.8,0
clay,,weekly,none,26.2,48.1,1
loam,5.334,daily,organic,17.6,57.7,0
sandy,9.104,bi-weekly,chemical,28.2,62.1,1
clay,6.698,daily,none,21.5,69.6,0
loam,8.019,weekly,organic,27.3,55.3,1
sandy,5.163,daily,none,31.5,50.8,0
clay,7.512,bi-weekly,,19,61.2,1
loam,4.776,weekly,none,24.8,70.7,0
sandy,8.239,daily,organic,30.7,68.3,1
clay,6.658,bi-weekly,none,27.8,54.6,0
loam,7.093,weekly,chemical,20.4,70,1
sandy,5.451,,none,31.3,46.1,0
clay,8.991,bi-weekly,organic,27.9,57.2,1
loam,6.348,weekly,none,22.6,63.1,0
sandy,4.917,daily,chemical,28.7,54.5,1
clay,7.392,bi-weekly,none,31.1,68.6,0
loam,9.043,weekly,organic,26.4,70.1,1
sandy,5.789,daily,none,20.2,55,0
clay,6.917,weekly,chemical,18.6,61.4,1
loam,8.263,bi-weekly,none,30.6,47.5,0
sandy,5.124,daily,organic,27.1,62.3,1
clay,7.528,weekly,none,22,70.4,0
loam,4.932,bi-weekly,chemical,31.4,54,1
sandy,8.721,daily,none,24.1,55.6,0
clay,6.341,weekly,organic,30.9,69.1,1
loam,5.813,bi-weekly,none,26,60.2,0
sandy,7.491,daily,chemical,28.4,54.3,1
clay,9.263,weekly,none,22.4,69.2,0
loam,4.568,bi-weekly,organic,30.1,48,1
sandy,6.817,daily,none,26.3,61.1,0
clay,7.945,weekly,chemical,27,,1
loam,,bi-weekly,none,20.9,55.8,0
sandy,5.233,daily,organic,31.8,47.9,1
clay,6.456,weekly,none,24.9,70.8,0
loam,7.289,bi-weekly,chemical,28.6,60.9,1
sandy,4.671,daily,none,18.4,61.5,0
clay,8.846,weekly,organic,27.7,56.8,1
loam,5.922,bi-weekly,none,26.8,70.6,0
sandy,7.321,daily,chemical,20.3,47.3,1
clay,9.034,weekly,none,31.7,,0
loam,6.127,bi-weekly,organic,22.1,55.7,1
sandy,5.652,daily,none,28,70.2,0
clay,7.528,weekly,chemical,30.5,60.1,1
loam,4.934,bi-weekly,none,24.5,61.7,0
sandy,8.273,daily,organic,27.9,69.5,1
clay,6.732,weekly,none,,56.9,0
